URL,Title,Type,City,Location,Complex,Developer,Bedrooms,Bathrooms,Indoor area,Total area,Floor,Storeys,View,Additionally,Pool,Appliances,Furniture,Air conditioning,Heating,Parking,Storeroom,Elevator,Completion,Year of construction,Gated complex,New building,Distance to the sea,Energy efficiency class,Price,Description
https://dom.com.cy/en/catalog/sale/82342/,"New 3-bedroom apartment for sale in Limassol, Cyprus. - Object № 68401"," Apartments", Limassol," Agios Tychonas", To know," To knowDevelopersCyprus Projects and Developers", 3, 3, 108 m², 144 m², 3, 5," Sea and mountains view",, Yes,,, Yes, Yes, Yes, Yes, Yes,, 02/2026,Gated complexes with a swimming pool," YesNew buildings in Cyprus", 250 m,,1 090 000,"Apartment for sale in a new complex in Limassol.<ol><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- Iconic architecture from a leading bureau from London;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- spectacular sea and mountain views;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- Outdoor swimming pool, gym and yoga room, steam bath and sauna;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- 250 meters to the sandy beach;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- the heart of the tourist area of Limassol;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- fine restaurants and the 5-star Four Seasons Hotel within a 2-minute walk;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- high ceilings (3.15 meters);</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- top standard finish;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- water underfloor heating and VRV air conditioning;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- penthouses with attics and terraces.</li></ol><br>"
https://dom.com.cy/en/catalog/sale/82349/,"New 2-bedroom apartment for sale in Paralimni, Cyprus. - Object № 68408"," Apartments", Famagusta," Paralimni", To know," To knowDevelopersCyprus Projects and Developers", 2, 2, 83 m², 95 m², 0, 3," sea view",, Yes,,,,, Yes,, Yes,, 09/2025," YesGated complexes with a swimming pool"," YesNew buildings in Cyprus", 2000 m, A,265 000,"New 2 bedroom apartment for sale in Paralimni in Kapparis district.  The complex is located on a hill and offers unobstructed views of the sea, Famagusta, Kapparis and the pool.  The project consists of 6 blocks, 64 apartments and stands out for its minimalist style, clear lines and high quality materials."
https://dom.com.cy/en/catalog/sale/82348/,"New 1-bedroom apartment for sale in Limassol, Cyprus. - Object № 68407"," Apartments", Limassol,"Location Agios Tychonas",\nTo know,"\nTo knowDevelopersCyprus Projects and Developers", 1, 1, 54 m², 63 m², 4, 5," Sea and mountains view",, Yes,,, Yes, Yes, Yes, Yes, Yes,, 02/2026,Gated complexes with a swimming pool," YesNew buildings in Cyprus", 250 m,,440 000,"Apartment for sale in a new complex in Limassol.<ol><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- Iconic architecture from a leading bureau from London;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- spectacular sea and mountain views;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- Outdoor swimming pool, gym and yoga room, steam bath and sauna;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- 250 meters to the sandy beach;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- the heart of the tourist area of Limassol;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- fine restaurants and the 5-star Four Seasons Hotel within a 2-minute walk;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- high ceilings (3.15 meters);</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- top standard finish;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- water underfloor heating and VRV air conditioning;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- penthouses with attics and terraces.</li></ol><br>"
https://dom.com.cy/en/catalog/sale/82347/,"New 3-bedroom apartment for sale in Limassol, Cyprus. - Object № 68406"," Apartments", Limassol," Agios Tychonas", To know," To knowDevelopersCyprus Projects and Developers", 3, 3, 108 m², 144 m², 4, 5," Sea and mountains view",, Yes,,, Yes, Yes, Yes, Yes, Yes,, 02/2026,Gated complexes with a swimming pool," YesNew buildings in Cyprus", 250 m,,1 130 000,"Apartment for sale in a new complex in Limassol.<ol><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- Iconic architecture from a leading bureau from London;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- spectacular sea and mountain views;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- Outdoor swimming pool, gym and yoga room, steam bath and sauna;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- 250 meters to the sandy beach;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- the heart of the tourist area of Limassol;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- fine restaurants and the 5-star Four Seasons Hotel within a 2-minute walk;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- high ceilings (3.15 meters);</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- top standard finish;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- water underfloor heating and VRV air conditioning;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>- penthouses with attics and terraces.</li></ol><br>"
https://dom.com.cy/en/catalog/sale/82316/,"New 3-bedroom villa for sale in Paphos, Cyprus. - Object № 82316"," Villa / HouseTypes of property in Cyprus", Paphos," Empa", To know," To knowDevelopersCyprus Projects and Developers", 3, 3, 146 m², 172 m²,, 2," Sea and mountains view",, Yes, Yes, Yes, Yes, Yes, Yes, Yes,, 100%, 11/2023," YesGated complexes with a swimming pool"," YesNew buildings in Cyprus", 3000 m, A,530 000,For sale a large luxury turnkey villa. High quality construction and modern design make this property an ideal investment for both leisure and permanent residence. Private roof terrace of 20 m2 with sea and mountain views. 
https://dom.com.cy/en/catalog/sale/82332/,"New 1-bedroom apartment for sale in Limassol, Cyprus. - Object № 68393"," Apartments", Limassol," Agios Tychonas"," To knowTop 5 Residential Complexes for Rent in Controlled Areas of Famagusta"," To knowDevelopersCyprus Projects and Developers", 1, 1, 50 m², 65 m², 2, 5," Sea and mountains view",, Yes,,, Yes, Yes, Yes, Yes, Yes,, 02/2026,Gated complexes with a swimming pool," YesNew buildings in Cyprus", 250 m,,490 000,"Apartment for sale in a new complex in Limassol.<ol><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Iconic architecture from a leading bureau from London;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>spectacular sea and mountain views;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>living areas: outdoor swimming pool, gym and yoga room, steam bath and sauna;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>250 meters to the sandy beach;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>the heart of the Limassol tourist area;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>fine restaurants and the 5-star Four Seasons Hotel are a 2-minute walk away;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>high ceilings (3.15 meters);</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>top standard finish;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>water underfloor heating and VRV air conditioning;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>penthouses with attics and terraces.</li></ol><br>"
https://dom.com.cy/en/catalog/sale/82329/,"New 1-bedroom apartment for sale in Limassol, Cyprus. - Object № 68390"," Apartments", Limassol," Agios Tychonas", To know," To knowDevelopersCyprus Projects and Developers", 1, 1, 54 m², 63 m², 1, 5," Sea and mountains view",, Yes,,, Yes, Yes, Yes, Yes, Yes,, 02/2026,Gated complexes with a swimming pool," YesNew buildings in Cyprus", 250 m,,390 000,"Apartment for sale in a new complex in Limassol.<ol><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Iconic architecture from a leading bureau from London;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>spectacular sea and mountain views;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>living areas: outdoor swimming pool, gym and yoga room, steam bath and sauna;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>250 meters to the sandy beach;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>the heart of the Limassol tourist area;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>fine restaurants and the 5-star Four Seasons Hotel are a 2-minute walk away;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>high ceilings (3.15 meters);</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>top standard finish;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>water underfloor heating and VRV air conditioning;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>penthouses with attics and terraces.</li></ol><br>"
https://dom.com.cy/en/catalog/sale/82346/,"New 2-bedroom apartment for sale in Paralimni, Cyprus. - Object № 68405"," Apartments", Famagusta," Paralimni", To know," To knowDevelopersCyprus Projects and Developers", 2, 2, 83 m², 188 m², 0, 3," sea view",, Yes,,,,, Yes,, Yes,, 09/2025," YesGated complexes with a swimming pool"," YesNew buildings in Cyprus", 2000 m, A,,"New 2 bedroom apartment for sale in Paralimni in Kapparis district.  The complex is located on a hill and offers unobstructed views of the sea, Famagusta, Kapparis and the pool.  The project consists of 6 blocks, 64 apartments and stands out for its minimalist style, clear lines and high quality materials."
https://dom.com.cy/en/catalog/sale/82328/,"New 2-bedroom apartment for sale in Limassol, Cyprus. - Object № 68389"," Apartments", Limassol," Agios Tychonas", To know," To knowDevelopersCyprus Projects and Developers", 2, 2, 88 m², 114 m², 1, 5," Sea and mountains view",, Yes,,, Yes, Yes, Yes, Yes, Yes,, 02/2026,Gated complexes with a swimming pool," YesNew buildings in Cyprus", 250 m,,710 000,"Apartment for sale in a new complex in Limassol.<ol><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Iconic architecture from a leading bureau from London;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>spectacular sea and mountain views;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>living areas: outdoor swimming pool, gym and yoga room, steam bath and sauna;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>250 meters to the sandy beach;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>the heart of the Limassol tourist area;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>fine restaurants and the 5-star Four Seasons Hotel are a 2-minute walk away;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>high ceilings (3.15 meters);</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>top standard finish;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>water underfloor heating and VRV air conditioning;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>penthouses with attics and terraces.</li></ol><br>"
https://dom.com.cy/en/catalog/sale/82326/,"New 3-bedroom apartment for sale in Limassol, Cyprus. - Object № 68387"," Apartments", Limassol," Agios Tychonas", To know," To knowDevelopersCyprus Projects and Developers", 3, 3, 121 m², 148 m², 1, 5," Sea and mountains view",, Yes,,, Yes, Yes, Yes, Yes, Yes,, 02/2026,Gated complexes with a swimming pool," YesNew buildings in Cyprus", 250 m,,970 000,"Apartment for sale in a new complex in Limassol.<ol><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Iconic architecture from a leading bureau from London;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>spectacular sea and mountain views;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>living areas: outdoor swimming pool, gym and yoga room, steam bath and sauna;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>250 meters to the sandy beach;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>the heart of the Limassol tourist area;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>fine restaurants and the 5-star Four Seasons Hotel are a 2-minute walk away;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>high ceilings (3.15 meters);</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>top standard finish;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>water underfloor heating and VRV air conditioning;</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>penthouses with attics and terraces.</li></ol><br>"
