URL,Title,Type,City,Location,Complex,Developer,Bedrooms,Bathrooms,Indoor area,Total area,Floor,Storeys,View,Additionally,Pool,Appliances,Furniture,Air conditioning,Heating,Parking,Storeroom,Elevator,Completion,Year of construction,Gated complex,New building,Distance to the sea,Energy efficiency class,Price,Description
https://dom.com.cy/en/catalog/rent/88227/,"New 3-bedroom villa for long rent in Limassol, Cyprus - Object № 73096"," Villa / House", Limassol," Kapsalos",,Cyprus Projects and Developers, 3, 3, 135 m², 150 m²,, 1," mountains view",, Yes, Yes, Yes, Yes,, Yes,,,, 2022,Gated complexes with a swimming pool," YesNew buildings in Cyprus", 4500 m, A,,"3 bedroom house with swimming pool for rent, Kapsalos district, Limassol. Easy access to the highway and the city center. The property consists of 3 bedrooms, an open-plan kitchen with a living and dining area, 2 bathrooms +a guest toilet. The house is fully furnished and equipped with household appliances. There is a covered parking and a garden."
https://dom.com.cy/en/catalog/rent/88220/,"3-bedroom penthouse for long rent in Limassol, Cyprus - Object № 73231"," Apartments", Limassol,"Location Agios Tychonas",,Cyprus Projects and Developers, 3, 4, 135 m², 135 m², 4,," sea view",, Yes, Yes,, Yes, Yes, Yes, Yes, Yes,,," YesGated complexes with a swimming pool",New buildings in Cyprus, 1000 m,,,"<div class=""ql-code-block-container"" spellcheck=""false""><div class=""ql-code-block"" data-language=""plain"">Beautiful 3 bedroom penthouse for rent. Panoramic sea view, roof garden, communal swimming pool, playground. Underfloor heating, fully equipped. Unfurnished.</div></div><br>"
https://dom.com.cy/en/catalog/rent/88222/,"5-bedroom villa for long rent in Limassol, Cyprus - Object № 73092"," Villa / House", Limassol," Palodeia",,Cyprus Projects and Developers, 5, 3, 280 m², 200 m²,, 2,"",, Yes, Yes, Yes, Yes, Yes, Yes, Yes,,,,Gated complexes with a swimming pool,New buildings in Cyprus, 2000 m, A,5 800,"For rent a modern 5-bedroom house located next to the Heritage School, Palodia district, Limassol. The house is equipped with household appliances and photovoltaics. Energy efficiency A. Swimming pool and large garden. There is a separate storage room, laundry room and attic. Open covered parking for three cars and automatic garage doors. Underfloor heating wire and fireplace."
https://dom.com.cy/en/catalog/rent/88225/,"3-bedroom apartment for long rent in Limassol, Cyprus - Object № 73095"," Apartments", Limassol," Germasogeia",,Cyprus Projects and Developers, 3, 3, 150 m², 150 m², 4, 5," sea view",, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes,, 2022," YesGated complexes with a swimming pool",New buildings in Cyprus, 750 m, A,,"Luxury 3 bedroom apartment for rent in a gated complex in Limassol. Plumbing and ceramics of the highest quality, granite countertops in the kitchen, electric blinds, mosquito nets, underfloor heating, BOSCH household appliances. The apartment is brand new, fully furnished and equipped for a comfortable stay. Rental conditions 1 deposit for rent, payment every 3 months in advance. Covered parking and storage room."
https://dom.com.cy/en/catalog/rent/88219/,"2-bedroom apartment for long rent in Nicosia, Cyprus - Object № 73255"," Apartments"," NicosiaWorld City Cost of Living Ranking in 2023","Location Strovolos",,Cyprus Projects and Developers, 2, 2, 122 m², 138 m², 1, 3,"",,, Yes,," YesFor rent 2 bedroom apartment. 122 m2 of interior spaces/16 m2 of terraces. Located in a great area. Quiet area. Close to the park. Close to schools and shops. Close to schools and shops. Easy access to the motorway. Recently completely renovated. Aluminum windows with double glazing. In very good condition. Separate kitchen area. Dressing room. Bright. Spacious and comfortable rooms. With electrical appliances. Autonomous heating. 2 covered balconies. 2 storerooms. Alarm system. Intercom. Air conditioning in the bedrooms and in the kitchen.For rent 2 bedroom apartment. 122 m2 of interior spaces/16 m2 of terraces. Located in a great area. Quiet area. Close to the park. Close to schools and shops. Close to schools and shops. Easy access to the motorway. Recently completely renovated. Aluminum windows with double glazing. In very good condition. Separate kitchen area. Dressing room. Bright. Spacious and comfortable rooms. With electrical appliances. Autonomous heating. 2 covered balconies. 2 storerooms. Alarm system. Intercom. Air conditioning in the bedrooms and in the kitchen.", Yes,, Yes,, 100%,,Gated complexes with a swimming pool,New buildings in Cyprus,, A,,"<span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255);"">For rent 2 bedroom apartment. 122 m2 of interior spaces/16 m2 of terraces. Located in a great area. Quiet area. Close to the park. Close to schools and shops. Close to schools and shops. Easy access to the motorway. Recently completely renovated. Aluminum windows with double glazing. In very good condition. Separate kitchen area. Dressing room. Bright. Spacious and comfortable rooms. With electrical appliances. Autonomous heating. 2 covered balconies. 2 storerooms. Alarm system. Intercom. Air conditioning in the bedrooms and in the kitchen.</span>"
https://dom.com.cy/en/catalog/rent/88202/,"2-bedroom apartment for long rent in Limassol, Cyprus - Object № 73078"," Apartments", Limassol,"Location Germasogeia",,Cyprus Projects and Developers, 2, 1, 90 m², 98 m², 4,," sea view",, Yes, Yes, Yes," YesFor rent 2-bedroom apartment in a gated complex. Furnished. Air conditioning in all rooms. Cozy balcony with summer furniture. Covered parking space. Located in the Germasogeia area, within walking distance of all amenities.For rent 2-bedroom apartment in a gated complex. Furnished. Air conditioning in all rooms. Cozy balcony with summer furniture. Covered parking space. Located in the Germasogeia area, within walking distance of all amenities.",, Yes,,,,," YesGated complexes with a swimming pool",New buildings in Cyprus, 100 m,,,"<span style=""background-color: transparent; color: rgb(0, 0, 0);"">For rent 2-bedroom apartment in a gated complex. Furnished. Air conditioning in all rooms. Cozy balcony with summer furniture. Covered parking space. Located in the Germasogeia area, within walking distance of all amenities. </span>It will be available for long-term lease from October 1, 2023.<br>"
https://dom.com.cy/en/catalog/rent/88215/,"3-bedroom house for long rent in Kapparis, Cyprus - Object № 73090"," Villa / House", Famagusta," Kapparis", Dafni Villas,Cyprus Projects and Developers, 3, 3, 130 m², 140 m²,, 2," sea view",, Yes, Yes, Yes, Yes,, Yes,,,, 2011," YesGated complexes with a swimming pool",New buildings in Cyprus, 200 m,,,Rent a 2-bedroom fully furnished villa on the first line within easy access to all infrastructure in the elite area of Kapparis
https://dom.com.cy/en/catalog/rent/88229/,"3-bedroom house for long rent in Paphos, Cyprus - Object № 73098"," Villa / House", Paphos," Chlorakas", Acropaphos,Cyprus Projects and Developers, 3, 2, 150 m², 167 m²,, 2," sea view",, Yes, Yes, Yes, Yes,, Yes,,, 100%,," YesGated complexes with a swimming pool",New buildings in Cyprus, 1000 m,,,For rent 3 bedroom house with sea view. Beautiful location. There is all the necessary furniture and appliances. The price includes general expenses and Internet. Utility bills can be transferred to the tenant. In this house there is an opportunity to live with pets. <br>
https://dom.com.cy/en/catalog/rent/88217/,"2-bedroom apartment for long rent in Paphos, Cyprus - Object № 73254"," Apartments", Paphos," Aphrodite Hills", Aphrodite Hills,Cyprus Projects and Developers, 2, 2, 90 m², 110 m², 2, 2," Sea and mountains view",, Yes," Yes2 bedroom apartment for rent in Aphrodite Hills complex, Paphos. Swimming pool, Parking. Appliances, furniture. Large terraces with beautiful views of the sea and mountains. the complex has a golf club, tennis courts, cafes, shops, restaurants.", Yes, Yes,," Yes2 bedroom apartment for rent in Aphrodite Hills complex, Paphos. Swimming pool, Parking. Appliances, furniture. Large terraces with beautiful views of the sea and mountains. the complex has a golf club, tennis courts, cafes, shops, restaurants.", Yes,,,," YesGated complexes with a swimming pool",New buildings in Cyprus, 1500 m, B,,"2 bedroom apartment for rent in Aphrodite Hills complex, Paphos. Swimming pool, Parking. Appliances, furniture. Large terraces with beautiful views of the sea and mountains. the complex has a golf club, tennis courts, cafes, shops, restaurants. "
https://dom.com.cy/en/catalog/rent/88205/,"New 2-bedroom apartment for long rent in Limassol, Cyprus - Object № 73081"," Apartments", Limassol," Agia Zoni", To know,"DevelopersCyprus Projects and Developers", 2, 2, 87 m², 117 m², 4, 5," Sea and mountains view",,, Yes, Yes, Yes,, Yes, Yes, Yes,, 03/2022," YesGated complexes with a swimming pool"," YesNew buildings in Cyprus", 995 m, A,,"For rent new 2 bedroom apartments in the area of Agia Zoni within walking distance to the necessary shops, restaurants, cafeteria, etc. The building is new and has all the furniture and necessary appliances. There is an open plan kitchen and guest room, one bedroom, large covered verandas, storage room and covered parking for each apartment. The price includes utilities such as: water, Internet, house maintenance and apartment cleaning 2 times a month, etc. except electricity."
